frame,time_sec,a1_eye_state,a2_pupil_position,a3_driving_status,a4_head_rotation,a5_head_front_tilt,a6_head_side_tilt,yaw_deg,pitch_deg,roll_deg,ear,blink_rate_per_min
21333,1071.601,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.1,176.1,-6.62,0.232,61.0
21334,1071.652,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.57,176.35,-6.61,0.227,61.0
21335,1071.702,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.61,175.42,-6.95,0.238,62.0
21336,1071.752,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.95,175.16,-7.23,0.225,62.0
21337,1071.802,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.02,175.87,-7.0,0.229,62.0
21338,1071.853,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.64,176.46,-7.03,0.234,63.0
21339,1071.903,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.78,176.31,-7.18,0.229,63.0
21340,1071.953,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.97,176.44,-7.11,0.232,63.0
21341,1072.003,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.0,175.95,-7.26,0.236,63.0
21342,1072.053,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.34,175.84,-7.29,0.239,63.0
21343,1072.104,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.77,175.56,-7.31,0.247,63.0
21344,1072.154,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.01,174.62,-7.22,0.171,63.0
21345,1072.204,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.31,174.55,-7.11,0.148,63.0
21346,1072.254,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.79,174.66,-7.08,0.14,63.0
21347,1072.305,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.57,174.53,-6.43,0.088,63.0
21348,1072.355,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.08,175.21,-5.84,0.081,63.0
21349,1072.405,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.87,174.87,-5.7,0.195,63.0
21350,1072.455,eyeClosed,center,distracted,center,extremeFrontTilt,straight,9.54,175.74,-5.1,0.201,63.0
21351,1072.506,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.81,176.45,-4.01,0.215,62.0
21352,1072.556,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.1,176.73,-3.47,0.215,62.0
21353,1072.606,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-0.98,177.23,-2.58,0.216,62.0
21354,1072.656,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-1.66,177.29,-2.34,0.221,62.0
21355,1072.706,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-0.35,176.97,-2.29,0.23,62.0
21356,1072.757,eyeOpen,center,distracted,center,extremeFrontTilt,straight,0.43,177.89,-2.29,0.237,63.0
21357,1072.807,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-0.33,178.17,-2.22,0.236,63.0
21358,1072.857,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-0.83,177.98,-2.07,0.236,63.0
21359,1072.907,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-0.9,177.81,-2.1,0.237,63.0
21360,1072.958,eyeOpen,center,distracted,center,extremeFrontTilt,straight,0.57,177.66,-2.21,0.244,63.0
21361,1073.008,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-1.56,177.94,-1.87,0.246,63.0
21362,1073.058,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-1.0,177.98,-1.92,0.242,63.0
21363,1073.108,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-0.62,177.94,-2.01,0.241,62.0
21364,1073.159,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-1.61,177.82,-1.91,0.241,62.0
21365,1073.209,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-1.77,177.99,-1.85,0.234,62.0
21366,1073.259,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-4.73,178.73,-1.48,0.191,62.0
21367,1073.309,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-2.88,178.5,-1.52,0.094,62.0
21368,1073.36,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-3.31,178.59,-1.57,0.096,62.0
21369,1073.41,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-1.73,177.44,-2.17,0.19,62.0
21370,1073.46,eyeClosed,center,distracted,center,extremeFrontTilt,straight,3.63,177.37,-2.94,0.208,62.0
21371,1073.51,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.24,177.02,-3.27,0.204,62.0
21372,1073.56,eyeClosed,center,distracted,center,extremeFrontTilt,straight,5.76,176.42,-3.68,0.207,62.0
21373,1073.611,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.06,177.18,-3.94,0.197,62.0
21374,1073.661,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.35,177.5,-3.98,0.187,62.0
21375,1073.711,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.37,177.57,-4.04,0.201,62.0
21376,1073.761,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.82,177.18,-4.2,0.208,62.0
21377,1073.812,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.42,176.77,-4.47,0.211,62.0
21378,1073.862,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.78,176.4,-4.77,0.21,62.0
21379,1073.912,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.38,176.62,-4.86,0.214,62.0
21380,1073.962,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.99,176.62,-5.02,0.215,62.0
21381,1074.013,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.67,176.87,-4.93,0.211,62.0
21382,1074.063,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.26,176.63,-4.86,0.213,62.0
21383,1074.113,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.61,176.92,-4.84,0.19,62.0
21384,1074.163,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.26,176.05,-4.75,0.089,62.0
21385,1074.213,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.53,176.08,-4.83,0.086,62.0
21386,1074.264,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.67,176.03,-5.15,0.154,62.0
21387,1074.314,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.59,176.48,-5.23,0.208,62.0
21388,1074.364,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.29,176.96,-5.29,0.209,62.0
21389,1074.414,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.47,176.84,-5.42,0.221,62.0
21390,1074.465,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.72,177.08,-5.38,0.222,62.0
21391,1074.515,eyeOpen,center,distracted,center,extremeFrontTilt,straight,13.24,176.47,-5.41,0.233,63.0
21392,1074.565,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.25,176.06,-5.39,0.229,63.0
21393,1074.615,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.34,176.54,-5.28,0.229,63.0
