frame,time_sec,a1_eye_state,a2_pupil_position,a3_driving_status,a4_head_rotation,a5_head_front_tilt,a6_head_side_tilt,yaw_deg,pitch_deg,roll_deg,ear,blink_rate_per_min
1,0.05,eyeOpen,center,distracted,center,extremeFrontTilt,straight,9.54,179.71,-4.45,0.279,0.0
2,0.1,eyeOpen,center,distracted,center,extremeBackTilt,straight,13.78,-179.7,-4.09,0.274,0.0
3,0.151,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.27,179.09,-4.36,0.272,0.0
4,0.201,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.65,177.76,-4.6,0.107,0.0
5,0.251,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.87,177.56,-4.19,0.028,0.0
6,0.301,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.18,176.93,-4.26,0.08,0.0
7,0.352,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.79,178.48,-4.13,0.133,0.0
8,0.402,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.45,179.18,-4.28,0.16,0.0
9,0.452,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.29,178.75,-4.39,0.184,0.0
10,0.502,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.2,178.76,-4.26,0.193,0.0
11,0.553,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.19,178.6,-4.27,0.202,0.0
12,0.603,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.88,179.74,-4.12,0.14,0.0
13,0.653,eyeClosed,center,distracted,center,extremeBackTilt,straight,8.67,-179.48,-3.43,0.089,0.0
14,0.703,eyeClosed,center,distracted,center,extremeBackTilt,straight,5.04,-178.86,-3.56,0.13,0.0
15,0.753,eyeClosed,center,distracted,center,extremeBackTilt,straight,0.55,-177.99,-3.14,0.143,0.0
16,0.804,eyeClosed,center,distracted,center,extremeBackTilt,straight,-1.84,-178.37,-3.14,0.143,0.0
17,0.854,eyeClosed,center,distracted,center,extremeBackTilt,straight,-1.61,-179.01,-3.12,0.154,0.0
18,0.904,eyeOpen,center,distracted,center,extremeBackTilt,straight,-2.44,-178.51,-3.2,0.237,1.0
19,0.954,eyeOpen,center,distracted,center,extremeBackTilt,straight,-1.81,-178.74,-3.14,0.24,1.0
20,1.005,eyeOpen,center,distracted,center,extremeBackTilt,straight,3.64,-178.68,-2.76,0.251,1.0
21,1.055,eyeOpen,center,distracted,center,extremeBackTilt,straight,1.35,-178.72,-2.67,0.249,1.0
22,1.105,eyeOpen,center,distracted,center,extremeBackTilt,straight,5.49,-179.8,-3.29,0.247,1.0
23,1.155,eyeOpen,center,distracted,center,extremeBackTilt,straight,6.41,-179.02,-3.4,0.253,1.0
24,1.206,eyeOpen,center,distracted,center,extremeBackTilt,straight,6.11,-178.72,-3.15,0.249,1.0
25,1.256,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.22,178.99,-3.09,0.254,1.0
26,1.306,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.77,177.42,-3.3,0.292,1.0
27,1.356,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.25,177.38,-3.01,0.264,1.0
28,1.406,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.63,176.12,-3.26,0.274,1.0
29,1.457,eyeOpen,center,distracted,center,extremeFrontTilt,straight,8.8,175.8,-3.17,0.271,1.0
30,1.507,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.49,176.1,-3.17,0.268,1.0
31,1.557,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.12,176.47,-3.09,0.278,1.0
32,1.607,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.96,177.31,-3.04,0.285,1.0
33,1.658,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.5,176.88,-3.14,0.28,1.0
34,1.708,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.1,177.36,-3.14,0.28,1.0
35,1.758,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.81,177.08,-3.16,0.266,1.0
36,1.808,eyeClosed,center,distracted,center,extremeFrontTilt,straight,3.49,175.91,-2.96,0.114,1.0
37,1.859,eyeClosed,center,distracted,center,extremeFrontTilt,straight,3.18,175.81,-3.26,0.113,1.0
38,1.909,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.02,175.82,-3.35,0.183,1.0
39,1.959,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.95,175.63,-3.4,0.203,1.0
40,2.009,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.31,176.47,-3.23,0.222,1.0
41,2.06,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.9,176.26,-3.06,0.233,2.0
42,2.11,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.83,176.08,-3.08,0.234,2.0
43,2.16,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.52,176.62,-2.97,0.239,2.0
44,2.21,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.83,176.32,-2.94,0.245,2.0
45,2.26,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.02,176.41,-2.96,0.247,2.0
46,2.311,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.62,176.36,-2.74,0.248,2.0
47,2.361,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.26,176.48,-2.57,0.248,2.0
48,2.411,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.72,175.99,-2.63,0.265,2.0
49,2.461,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.49,174.27,-3.09,0.268,2.0
50,2.512,eyeOpen,center,distracted,center,extremeFrontTilt,straight,9.14,174.09,-3.58,0.256,2.0
51,2.562,eyeOpen,center,distracted,center,extremeFrontTilt,straight,11.87,174.11,-3.86,0.251,2.0
52,2.612,eyeOpen,center,distracted,center,extremeFrontTilt,straight,11.56,173.68,-4.27,0.252,2.0
53,2.662,eyeOpen,center,distracted,center,extremeFrontTilt,straight,12.0,173.04,-4.29,0.253,2.0
54,2.713,eyeOpen,center,distracted,center,extremeFrontTilt,straight,12.84,174.08,-4.25,0.246,2.0
55,2.763,eyeOpen,center,distracted,center,extremeFrontTilt,straight,11.0,174.28,-3.77,0.24,2.0
56,2.813,eyeOpen,center,distracted,center,extremeFrontTilt,straight,12.07,174.33,-4.0,0.239,2.0
57,2.863,eyeOpen,center,distracted,center,extremeFrontTilt,straight,11.79,174.78,-4.0,0.234,2.0
58,2.913,eyeOpen,center,distracted,center,extremeFrontTilt,straight,10.45,174.37,-3.71,0.243,2.0
59,2.964,eyeOpen,center,distracted,center,extremeFrontTilt,straight,10.61,175.17,-3.61,0.244,2.0
60,3.014,eyeOpen,center,distracted,center,extremeFrontTilt,straight,9.19,175.89,-3.53,0.24,2.0
61,3.064,eyeOpen,center,distracted,center,extremeFrontTilt,straight,9.31,175.0,-3.5,0.25,2.0
62,3.114,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.4,176.26,-2.99,0.25,2.0
63,3.165,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.14,176.01,-2.72,0.249,2.0
64,3.215,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.15,175.76,-2.68,0.265,2.0
65,3.265,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.37,177.25,-2.45,0.271,2.0
66,3.315,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-2.55,177.33,-2.09,0.265,2.0
67,3.366,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.25,178.02,-1.4,0.271,2.0
68,3.416,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-5.48,177.65,-1.47,0.28,2.0
69,3.466,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.67,177.48,-1.33,0.282,2.0
70,3.516,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-10.08,177.44,-1.81,0.28,2.0
71,3.566,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.24,177.28,-1.62,0.278,2.0
72,3.617,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.1,177.24,-1.49,0.288,2.0
73,3.667,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.1,177.45,-1.58,0.283,2.0
74,3.717,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.53,176.45,-1.31,0.283,2.0
75,3.767,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-14.49,176.4,-1.09,0.282,2.0
76,3.818,eyeOpen,center,distracted,45DegreeRight,extremeFrontTilt,straight,-15.1,176.01,-0.94,0.284,2.0
77,3.868,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.36,176.53,-1.2,0.293,2.0
78,3.918,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.03,175.78,-1.09,0.286,2.0
79,3.968,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-14.29,175.38,-1.0,0.209,2.0
80,4.019,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-11.37,174.38,-1.12,0.089,2.0
81,4.069,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-11.64,174.59,-1.23,0.158,2.0
82,4.119,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-12.12,174.9,-1.17,0.199,2.0
83,4.169,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-12.42,174.86,-1.11,0.204,2.0
84,4.219,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-9.96,174.26,-1.49,0.218,2.0
85,4.27,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.59,174.43,-1.34,0.231,3.0
86,4.32,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.33,174.97,-1.47,0.244,3.0
87,4.37,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.94,174.89,-1.32,0.255,3.0
88,4.42,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.59,174.57,-1.08,0.259,3.0
89,4.471,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.23,174.85,-1.23,0.26,3.0
90,4.521,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-6.77,175.03,-1.06,0.275,3.0
91,4.571,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-7.71,175.6,-1.37,0.27,3.0
92,4.621,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.26,175.56,-1.08,0.276,3.0
93,4.672,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-7.95,174.73,-1.36,0.232,3.0
94,4.722,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-7.85,173.8,-1.31,0.131,3.0
95,4.772,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-6.68,173.55,-1.36,0.143,3.0
96,4.822,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-5.77,173.44,-1.51,0.189,3.0
97,4.873,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-6.19,174.49,-1.52,0.194,3.0
98,4.923,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-5.46,173.99,-1.4,0.239,4.0
99,4.973,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.44,174.47,-2.1,0.253,4.0
100,5.023,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.04,175.27,-3.4,0.25,4.0
101,5.073,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,19.93,172.14,-3.92,0.257,4.0
102,5.124,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,19.66,171.06,-4.4,0.269,4.0
103,5.174,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,21.19,171.76,-4.44,0.273,4.0
104,5.224,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,21.13,170.21,-5.0,0.264,4.0
105,5.274,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,20.58,169.7,-5.15,0.26,4.0
106,5.325,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,21.73,169.72,-5.19,0.257,4.0
107,5.375,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,21.8,170.12,-5.35,0.265,4.0
108,5.425,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,22.0,170.16,-5.52,0.258,4.0
109,5.475,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,22.41,171.16,-5.48,0.257,4.0
110,5.526,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,20.57,171.49,-5.4,0.267,4.0
111,5.576,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,20.07,171.16,-5.34,0.258,4.0
112,5.626,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,19.94,171.05,-5.72,0.254,4.0
113,5.676,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,19.29,172.28,-5.73,0.261,4.0
114,5.726,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,20.24,171.83,-5.78,0.269,4.0
115,5.777,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,20.2,172.02,-5.57,0.28,4.0
116,5.827,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,20.29,172.52,-5.47,0.276,4.0
117,5.877,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,19.69,173.72,-5.45,0.267,4.0
118,5.927,eyeClosed,center,distracted,45DegreeLeft,extremeFrontTilt,straight,17.51,172.35,-5.71,0.177,4.0
119,5.978,eyeClosed,right,distracted,45DegreeLeft,extremeFrontTilt,straight,15.47,172.21,-5.42,0.073,4.0
120,6.028,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.64,174.61,-4.73,0.112,4.0
121,6.078,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-1.16,177.99,-4.27,0.187,4.0
122,6.128,eyeClosed,center,distracted,center,extremeBackTilt,straight,-6.99,-179.53,-2.87,0.191,4.0
123,6.179,eyeClosed,center,distracted,center,extremeBackTilt,straight,-7.66,-179.08,-2.84,0.229,4.0
124,6.229,eyeOpen,center,distracted,center,extremeBackTilt,straight,-9.17,-179.88,-2.54,0.238,5.0
125,6.279,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-7.99,179.19,-2.23,0.259,5.0
126,6.329,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-10.94,179.06,-1.96,0.259,5.0
127,6.379,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.11,178.57,-1.52,0.267,5.0
128,6.43,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.87,179.71,-1.9,0.269,5.0
129,6.48,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.98,179.14,-1.87,0.26,5.0
130,6.53,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.26,178.22,-1.71,0.261,5.0
131,6.58,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-11.94,178.57,-1.89,0.27,5.0
132,6.631,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.69,176.86,-1.64,0.267,5.0
133,6.681,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.84,177.04,-1.49,0.279,5.0
134,6.731,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.19,177.09,-1.54,0.281,5.0
135,6.781,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-9.71,177.67,-1.27,0.286,5.0
136,6.832,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.57,178.06,-0.71,0.281,5.0
137,6.882,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.23,179.46,-0.94,0.286,5.0
138,6.932,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.79,178.63,-0.38,0.28,5.0
139,6.982,eyeOpen,center,distracted,45DegreeRight,extremeFrontTilt,straight,-15.63,178.3,-0.33,0.266,5.0
140,7.032,eyeOpen,center,distracted,45DegreeRight,extremeFrontTilt,straight,-15.26,178.05,-0.33,0.262,5.0
141,7.083,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.66,178.27,0.1,0.259,5.0
142,7.133,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-11.3,177.98,-0.07,0.279,5.0
143,7.183,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.63,178.44,-0.07,0.272,5.0
144,7.233,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.71,178.42,-0.3,0.272,5.0
145,7.284,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-12.04,178.54,-0.41,0.278,5.0
146,7.334,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-11.84,177.87,-0.38,0.284,5.0
147,7.384,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-11.01,177.63,-0.49,0.281,5.0
148,7.434,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-11.37,177.85,-0.67,0.281,5.0
149,7.485,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.36,178.02,-0.78,0.275,5.0
150,7.535,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-8.95,178.19,-0.81,0.273,5.0
151,7.585,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-10.95,178.38,-1.08,0.274,5.0
152,7.635,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-11.2,177.87,-0.94,0.266,5.0
153,7.686,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-14.51,178.4,-0.81,0.26,5.0
154,7.736,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-14.04,178.44,-1.15,0.246,5.0
155,7.786,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-13.52,178.1,-1.34,0.23,5.0
156,7.836,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-13.6,178.78,-1.77,0.211,5.0
157,7.886,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-10.88,176.81,-0.69,0.111,5.0
158,7.937,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-9.15,176.65,-1.55,0.121,5.0
159,7.987,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-10.34,177.68,-2.26,0.186,5.0
160,8.037,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-9.18,178.61,-2.2,0.175,5.0
161,8.087,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-6.57,179.05,-2.15,0.166,5.0
162,8.138,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-7.28,179.22,-2.01,0.181,5.0
163,8.188,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-7.21,179.63,-2.05,0.174,5.0
164,8.238,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-8.71,179.84,-1.82,0.182,5.0
165,8.288,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-8.25,179.67,-1.69,0.171,5.0
166,8.339,eyeClosed,center,distracted,center,extremeBackTilt,straight,-9.76,-179.97,-1.71,0.183,5.0
167,8.389,eyeClosed,center,distracted,center,extremeBackTilt,straight,-8.85,-179.65,-1.7,0.165,5.0
168,8.439,eyeClosed,center,distracted,center,extremeBackTilt,straight,-9.09,-179.97,-1.52,0.182,5.0
169,8.489,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-9.87,178.84,-1.46,0.19,5.0
170,8.539,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-9.52,179.57,-1.59,0.189,5.0
171,8.59,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-10.51,179.24,-1.81,0.199,5.0
172,8.64,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-7.99,179.92,-1.76,0.198,5.0
173,8.69,eyeClosed,center,distracted,center,extremeBackTilt,straight,-8.11,-179.75,-2.21,0.202,5.0
174,8.74,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-3.5,179.66,-2.94,0.208,5.0
175,8.791,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-0.89,178.84,-2.82,0.211,5.0
176,8.841,eyeClosed,center,distracted,center,extremeFrontTilt,straight,0.31,179.65,-2.66,0.211,5.0
177,8.891,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-0.45,179.78,-3.03,0.212,5.0
178,8.941,eyeClosed,center,distracted,center,extremeBackTilt,straight,0.99,-179.71,-3.14,0.221,5.0
179,8.992,eyeClosed,center,distracted,center,extremeBackTilt,straight,0.48,-179.78,-3.4,0.218,5.0
180,9.042,eyeClosed,center,distracted,center,extremeBackTilt,straight,3.07,-179.5,-3.49,0.222,5.0
181,9.092,eyeClosed,center,distracted,center,extremeBackTilt,straight,6.61,-179.3,-3.7,0.23,5.0
182,9.142,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.85,179.9,-3.6,0.228,5.0
183,9.192,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.61,179.37,-3.55,0.233,6.0
184,9.243,eyeClosed,center,distracted,center,extremeFrontTilt,straight,5.31,179.66,-3.65,0.225,6.0
185,9.293,eyeOpen,center,distracted,center,extremeBackTilt,straight,5.54,-180.0,-3.56,0.232,7.0
186,9.343,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.3,179.28,-3.75,0.224,7.0
187,9.393,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.63,179.01,-3.67,0.165,7.0
188,9.444,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.8,179.06,-3.93,0.158,7.0
189,9.494,eyeClosed,center,distracted,center,extremeBackTilt,straight,8.8,-179.94,-3.99,0.171,7.0
190,9.544,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.46,179.89,-4.08,0.173,7.0
191,9.594,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.25,179.54,-4.25,0.174,7.0
192,9.645,eyeClosed,center,distracted,center,extremeBackTilt,straight,11.76,-179.96,-4.65,0.187,7.0
193,9.695,eyeClosed,center,distracted,center,extremeBackTilt,straight,14.12,-178.49,-5.06,0.202,7.0
194,9.745,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,15.73,-177.04,-4.94,0.2,7.0
195,9.795,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,15.84,-178.05,-4.48,0.207,7.0
196,9.845,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,15.89,-177.07,-4.23,0.221,7.0
197,9.896,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,16.09,-176.77,-4.06,0.218,7.0
198,9.946,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,16.94,-176.77,-4.02,0.223,7.0
199,9.996,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,16.71,-176.53,-4.23,0.225,7.0
200,10.046,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,15.77,-176.62,-4.12,0.217,7.0
201,10.097,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,15.61,-176.45,-4.11,0.221,7.0
202,10.147,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,16.81,-175.84,-4.25,0.217,7.0
203,10.197,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.2,-175.83,-4.41,0.218,7.0
204,10.247,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,18.54,-176.29,-4.43,0.216,7.0
205,10.298,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,18.38,-176.26,-4.33,0.217,7.0
206,10.348,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,19.36,-176.48,-4.26,0.23,7.0
207,10.398,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,19.45,-177.74,-4.33,0.238,8.0
208,10.448,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,19.12,-178.01,-4.39,0.231,8.0
209,10.499,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,19.18,-178.21,-4.25,0.233,8.0
210,10.549,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.88,-177.74,-4.26,0.152,8.0
211,10.599,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,16.36,-177.75,-4.2,0.105,8.0
212,10.649,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.95,-178.76,-4.31,0.183,8.0
213,10.699,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.25,-178.02,-4.05,0.218,8.0
214,10.75,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,18.43,-178.1,-4.1,0.232,9.0
215,10.8,eyeClosed,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.69,-178.52,-4.17,0.227,9.0
216,10.85,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,18.61,-178.52,-4.09,0.237,10.0
217,10.9,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,18.18,-179.08,-4.12,0.247,10.0
218,10.951,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.45,-179.59,-4.28,0.262,10.0
219,11.001,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.58,-179.68,-4.42,0.271,10.0
220,11.051,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.87,-179.3,-4.3,0.271,10.0
221,11.101,eyeOpen,center,distracted,45DegreeLeft,extremeBackTilt,straight,17.14,-179.55,-4.35,0.265,10.0
222,11.152,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.6,179.63,-4.25,0.265,10.0
223,11.202,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.37,179.1,-4.13,0.251,10.0
224,11.252,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,15.42,179.14,-4.29,0.244,10.0
225,11.302,eyeOpen,center,distracted,center,extremeBackTilt,straight,13.86,-179.76,-4.14,0.248,10.0
226,11.352,eyeOpen,center,distracted,center,extremeBackTilt,straight,14.4,-179.95,-4.18,0.245,10.0
227,11.403,eyeOpen,center,distracted,center,extremeFrontTilt,straight,14.24,179.93,-4.17,0.247,10.0
228,11.453,eyeOpen,center,distracted,center,extremeFrontTilt,straight,13.48,179.77,-4.07,0.248,10.0
229,11.503,eyeOpen,center,distracted,center,extremeFrontTilt,straight,13.97,179.32,-3.87,0.258,10.0
230,11.553,eyeOpen,center,distracted,center,extremeFrontTilt,straight,13.93,179.69,-3.67,0.25,10.0
231,11.604,eyeOpen,center,distracted,center,extremeFrontTilt,straight,13.14,179.36,-3.67,0.248,10.0
232,11.654,eyeOpen,center,distracted,center,extremeFrontTilt,straight,11.63,179.93,-3.47,0.245,10.0
233,11.704,eyeOpen,center,distracted,center,extremeBackTilt,straight,10.68,-179.05,-3.28,0.238,10.0
234,11.754,eyeOpen,center,distracted,center,extremeFrontTilt,straight,9.86,179.57,-3.43,0.236,10.0
235,11.805,eyeOpen,center,distracted,center,extremeBackTilt,straight,8.17,-179.02,-2.83,0.25,10.0
236,11.855,eyeOpen,center,distracted,center,extremeBackTilt,straight,7.6,-178.52,-2.81,0.253,10.0
237,11.905,eyeOpen,center,distracted,center,extremeBackTilt,straight,8.14,-178.58,-2.41,0.248,10.0
238,11.955,eyeOpen,center,distracted,center,extremeBackTilt,straight,2.38,-177.03,-1.9,0.261,10.0
239,12.005,eyeOpen,center,distracted,center,extremeBackTilt,straight,-0.48,-175.85,-1.07,0.259,10.0
240,12.056,eyeOpen,center,distracted,center,extremeBackTilt,straight,-1.51,-174.86,-0.69,0.265,10.0
241,12.106,eyeOpen,center,distracted,center,extremeBackTilt,straight,-4.84,-174.77,-1.1,0.279,10.0
242,12.156,eyeOpen,center,distracted,center,extremeBackTilt,straight,-10.25,-174.6,-0.5,0.318,10.0
243,12.206,eyeClosed,center,distracted,center,extremeBackTilt,straight,-3.41,-172.99,0.01,0.196,10.0
244,12.257,eyeClosed,center,distracted,center,extremeBackTilt,straight,-3.37,-172.81,-0.23,0.139,10.0
